condition,split,mean_total_concentration_kmol_m3,mean_measured_rate_nm_s,mean_predicted_rate_nm_s,mean_bias_nm_s,mean_fraction_adn_2,mean_fraction_idn_2,mean_fraction_n2
1,identification,0.00020489412799020408,0.10921737265306122,0.10923706463876871,1.9691985707497736e-05,0.01715260371120751,0.008435845381274579,0.9744115509075177
2,identification,0.00016407132264367348,0.07686286373469386,0.07685195471730523,-1.0909017388649467e-05,0.01714914435981501,0.00843851601592566,0.9744123396242593
3,held-out test,0.0002457456781632653,0.14391471285714286,0.1443457769209636,0.0004310640638207177,0.0171526055286273,0.008435844773103014,0.9744115496982697
4,identification,0.00020489537020408166,0.07443086153061225,0.07447926054297145,4.839901235921115e-05,0.01149839772394916,0.008476072284160802,0.9800255299918899
5,identification,0.00020489055,0.20429415020408165,0.20426867321706,-2.547698702162703e-05,0.033690905611685563,0.008314117031373976,0.9579949773569406
