train_cases,test_case,selected_model,selected_role_model_id,selected_role_A,selected_role_I,selected_role_B,selected_role_terms,response_model,selected_equation_family,selected_applicability_status,selected_contrast_status,selected_distinguishable,selected_supported_claims,selected_missing_evidence,transport_mode,effective_roles,effect_groups,effect_scopes,response_structure,inactive_roles,role_symmetry,regularization,selection_reason,unrestricted_numerical_winner,unrestricted_winner_eligible,unrestricted_winner_rejection_reason,train_blocked_cv_rmse_nm_s,train_condition_cv_rmse_nm_s,train_condition_cv_improvement_vs_baseline,train_condition_cv_worst_relative_rmse,train_condition_cv_worst_case,common_total_order,within_total_order,reaction_input_quantity,reaction_input_location,reaction_input_unit,reference_reaction_input_total,reference_reaction_input_shares,reference_total_concentration_kmol_m3,reference_rate_nm_s,test_mse,test_rmse,test_mae,test_max_abs,test_observation_count,test_mean_bias,test_mean_mse,test_centered_mse,test_centered_rmse,test_centered_r2,test_spatial_correlation,test_normalized_rmse,test_target_mean,test_target_variance,test_relative_rmse,test_baseline_mse,test_mse_nm2_s2,test_rmse_nm_s,test_mae_nm_s,test_max_abs_nm_s,test_r2,test_bias_nm_s,test_relative_rmse_vs_test_mean,test_relative_bias_vs_test_mean,test_centered_spatial_rmse_nm_s,test_centered_spatial_r2,test_constant_train_mean_rmse_nm_s,test_rmse_improvement_vs_constant_train_mean,test_target_range_nm_s,test_prediction_range_nm_s,test_range_capture_fraction,unrestricted_test_rmse_nm_s,unrestricted_test_relative_rmse,unrestricted_test_centered_spatial_r2,unrestricted_test_spatial_correlation,unrestricted_test_prediction_range_nm_s,unrestricted_test_range_capture_fraction,selected_coefficient_desorption_ratio,selected_coefficient_conversion_ratio,chemical_test_centered_spatial_r2,spatial_response_model,spatial_response_test_rmse_nm_s,spatial_response_test_relative_rmse,spatial_response_test_centered_spatial_r2,spatial_response_test_spatial_correlation,selected_coefficient_inhibition_ratio,selected_coefficient_adsorption_ratio_A,selected_coefficient_adsorption_ratio_B
2+3+4+5,1,"cvd:aib_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2","cvd:aib_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2",adn_2,,idn_2,desorption_ratio|conversion_ratio,surface_compare,aib_qss,production,sufficient,False,"['improves the conditionwise constant-rate baseline', 'AB effect improves its exact reduction', 'AB raw-species assignment is separated in inner CV', 'finite_loss improves its exact reduction']",['A/B exchange in the no-inhibitor sequential steady response'],bulk_as_surface,"{'A': 'adn_2', 'I': None, 'B': 'idn_2'}","{'AB': ['adn_2', 'idn_2']}",{'AB': ['aib_qss']},surface_qss,,A/B exchange in the no-inhibitor sequential steady response,0.0,Minimum condition-refit raw-rate prediction error among quasi-steady site-balance reductions; numerical ties prefer fewer observable effects and parameters.,"cvd:aib_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2",True,,0.0011269143386216608,0.0012659955063235064,0.9823083365884416,0.010893679757719113,5,nan,nan,concentration,reference_plane,kmol/m^3,0.00020372646999999999,"{'adn_2': 0.01680957314972375, 'idn_2': 0.008398098685948862, 'n2': 0.9747923281643275}",0.00020372646999999999,0.25736402647966483,4.5875669678391866e-07,0.0006773158028452596,0.0005432645305933671,0.0014705435826978253,49.0,-0.00011055236748045382,1.2221825955533302e-08,4.465348708283854e-07,0.0006682326472332712,-0.08456708975908822,0.04381682312523922,nan,0.10921737265306122,4.1171714967634963e-07,0.006201539062808387,0.00024559327523013025,4.5875669678391866e-07,0.0006773158028452596,0.0005432645305933671,0.0014705435826978253,-0.11425209550912996,-0.00011055236748045382,0.006201539062808387,-0.0010122232827522169,0.0006682326472332712,-0.08456708975908822,0.01567141586552186,0.9567801780861805,0.0033476649999999997,0.0010764949884901343,0.32156592385741534,0.0006773158028452596,0.006201539062808387,-0.08456708975908822,0.04381682312523922,0.0010764949884901343,0.32156592385741534,13.57727142105184,10.181517217181819,-0.08456708975908822,radial_quartic,0.00031020811610478564,0.0028402818028793785,0.7959588289975723,0.8922376846242481,,,
1+3+4+5,2,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2","cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,desorption_ratio|conversion_ratio|inhibition_ratio,surface_compare,aib_qss,production,limited,False,"['improves the conditionwise constant-rate baseline', 'I effect improves its exact reduction', 'finite_loss improves its exact reduction']","['independent between-condition variation for idn_2, n2', 'independent A/B perturbations including a low-B regime', 'independent variation of the inhibitor candidate']",bulk_as_surface,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}","{'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}","{'A': ['aib_qss'], 'B': ['aib_qss'], 'I': ['aib_qss']}",surface_qss,,,0.0,Minimum condition-refit raw-rate prediction error among quasi-steady site-balance reductions; numerical ties prefer fewer observable effects and parameters.,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",True,,0.0020385016013414366,0.0010515887828807927,0.9835545530341469,0.008239509874677552,3,nan,nan,concentration,reference_plane,kmol/m^3,0.000205741791985,"{'adn_2': 0.01838129700588843, 'idn_2': 0.008391318960252225, 'n2': 0.9732273840338594}",0.000205741791985,2.5888674946570704,2.1717263543953602e-07,0.0004660178488422262,0.0003977144534094681,0.0009672435296426418,49.0,0.00016593890072627544,2.7535718774244695e-08,1.8963691666529134e-07,0.0004354732100431568,-0.10629929577907249,-0.08859746089045648,nan,0.07686286373469386,1.7141556302966477e-07,0.0060629779609925995,0.0031475396842394897,2.1717263543953602e-07,0.0004660178488422262,0.0003977144534094681,0.0009672435296426418,-0.2669365114878901,0.00016593890072627544,0.0060629779609925995,0.002158895631303092,0.0004354732100431568,-0.10629929577907249,0.0561029382852582,0.9916935215322817,0.0019401760000000018,0.00041701910308764023,0.21493880095807796,0.0004660178488422262,0.0060629779609925995,-0.10629929577907249,-0.08859746089045648,0.00041701910308764023,0.21493880095807796,1.3097472643005899,0.10941138105771858,-0.10629929577907249,radial_quartic,0.0002825228300125764,0.0036756740028286647,0.6949901760377144,0.8437967110681458,2.2467900918126444e-10,,
1+2+4+5,3,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2","cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,desorption_ratio|conversion_ratio|inhibition_ratio,surface_compare,aib_qss,production,limited,False,"['improves the conditionwise constant-rate baseline', 'finite_loss improves its exact reduction']","['independent between-condition variation for idn_2, n2', 'independent A/B perturbations including a low-B regime', 'independent variation of the inhibitor candidate', 'consistent parent-versus-reduction benefit for I']",bulk_as_surface,"{'A': 'idn_2', 'I': 'n2', 'B': 'adn_2'}","{'A': ['idn_2'], 'B': ['adn_2'], 'I': ['n2']}","{'A': ['aib_qss'], 'B': ['aib_qss'], 'I': ['aib_qss']}",surface_qss,,,0.0,Minimum condition-refit raw-rate prediction error among quasi-steady site-balance reductions; numerical ties prefer fewer observable effects and parameters.,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",True,,0.0017828617746724156,0.0008940841559704123,0.9872722883902952,0.007497260375493702,5,nan,nan,concentration,reference_plane,kmol/m^3,0.00020281610586000002,"{'adn_2': 0.015253807614941255, 'idn_2': 0.008371450545313215, 'n2': 0.9763747418397455}",0.00020281610586000002,2.527220428930998,1.099626429180128e-06,0.0010486307401464674,0.0009412973331437277,0.0024610481454290234,49.0,0.0004310640638207177,1.8581622711763178e-07,9.138102020624961e-07,0.0009559342038354397,-0.014799642556980741,0.17206833302148672,nan,0.14391471285714286,9.00483370057145e-07,0.007286473490638807,0.0007689330687420045,1.099626429180128e-06,0.0010486307401464674,0.0009412973331437277,0.0024610481454290234,-0.2211512902346493,0.0004310640638207177,0.007286473490638807,0.0029952744598713407,0.0009559342038354397,-0.014799642556980741,0.027729642420016968,0.9621837626225753,0.00523752999999999,0.001810482871430541,0.34567494055987164,0.0010486307401464674,0.007286473490638807,-0.014799642556980741,0.17206833302148672,0.001810482871430541,0.34567494055987164,1.4074646633398433,0.09474635256553754,-0.014799642556980741,radial_quartic,0.000570306145283186,0.003962806400825058,0.8451577487530033,0.9274876976754525,0.0005139696800771512,,
1+2+3+5,4,"cvd:langmuir_hinshelwood_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2","cvd:langmuir_hinshelwood_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2",adn_2,,idn_2,adsorption_ratio_A|adsorption_ratio_B,surface_compare,langmuir_hinshelwood_qss,exploratory,sufficient,False,"['improves the conditionwise constant-rate baseline', 'AB raw-species assignment is separated in inner CV']","['independent A/B perturbations spanning low coverage and saturation', 'B adsorption, retention, or time-response evidence', 'A/B exchange with adsorption-parameter exchange']",bulk_as_surface,"{'A': 'adn_2', 'I': None, 'B': 'idn_2'}","{'AB': ['adn_2', 'idn_2']}",{'AB': ['langmuir_hinshelwood_qss']},surface_lh_qss,,A/B exchange with adsorption-parameter exchange,0.0,Minimum condition-refit raw-rate prediction error among quasi-steady site-balance reductions; numerical ties prefer fewer observable effects and parameters.,"cvd:langmuir_hinshelwood_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2",True,,0.0011634043392872802,0.002378393689077828,0.9622252331435284,0.0450428312202784,2,nan,nan,concentration,reference_plane,kmol/m^3,0.00020350919745500002,"{'adn_2': 0.018582948742826393, 'idn_2': 0.008367550416862803, 'n2': 0.9730495008403108}",0.00020350919745500002,25.282690119139087,1.787709839826328e-07,0.00042281317858202196,0.00035163807257786314,0.0009113485061002513,49.0,5.101593692216576e-05,2.6026258200463955e-09,1.7616835816258646e-07,0.000419724145317596,0.037105634437477275,0.2467558771894305,nan,0.07443086153061225,1.8295709733400396e-07,0.005680616479336673,0.0034978897279603484,1.787709839826328e-07,0.00042281317858202196,0.00035163807257786314,0.0009113485061002513,0.022880300422175037,5.101593692216576e-05,0.005680616479336673,0.0006854137634989446,0.000419724145317596,0.037105634437477275,0.05914296008791197,0.9928509973468771,0.0023843499999999934,0.0008860024171790937,0.3715907552075392,0.00042281317858202196,0.005680616479336673,0.037105634437477275,0.2467558771894305,0.0008860024171790937,0.3715907552075392,,,0.037105634437477275,radial_quartic,0.00021309835298153647,0.0028630375706976395,0.7660201060948941,0.8788302001904769,,0.029427271762092817,0.25945527214040154
1+2+3+4,5,"cvd:langmuir_hinshelwood_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2","cvd:langmuir_hinshelwood_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2",adn_2,,idn_2,adsorption_ratio_A|adsorption_ratio_B,surface_compare,langmuir_hinshelwood_qss,exploratory,sufficient,False,"['improves the conditionwise constant-rate baseline', 'AB raw-species assignment is separated in inner CV']","['independent A/B perturbations spanning low coverage and saturation', 'B adsorption, retention, or time-response evidence', 'A/B exchange with adsorption-parameter exchange']",bulk_as_surface,"{'A': 'adn_2', 'I': None, 'B': 'idn_2'}","{'AB': ['adn_2', 'idn_2']}",{'AB': ['langmuir_hinshelwood_qss']},surface_lh_qss,,A/B exchange with adsorption-parameter exchange,0.0,Minimum condition-refit raw-rate prediction error among quasi-steady site-balance reductions; numerical ties prefer fewer observable effects and parameters.,"cvd:langmuir_hinshelwood_qss:AB:full:bulk_as_surface:A=adn_2,B=idn_2",True,,0.0007949268855955995,0.0006894065095765874,0.9817153787850629,0.006927009390177579,4,nan,nan,concentration,reference_plane,kmol/m^3,0.000205045629965,"{'adn_2': 0.015087948280234395, 'idn_2': 0.008380408328103916, 'n2': 0.9765316433916617}",0.000205045629965,29.51033344271144,4.44919793705612e-06,0.002109312195256103,0.0017984355696675077,0.003842657144020878,49.0,0.0014369106763359814,2.0647122917683276e-06,2.3844856452877927e-06,0.0015441779836818659,-0.19904920084589706,-0.31700332231647416,nan,0.20429415020408165,1.988647041010162e-06,0.010324878089504691,0.01064968956449839,4.44919793705612e-06,0.002109312195256103,0.0017984355696675077,0.003842657144020878,-1.2372989501425482,0.0014369106763359814,0.010324878089504691,0.007033538037680302,0.0015441779836818659,-0.19904920084589706,0.10319733312687102,0.9795604001446151,0.005754740000000008,0.0012192477790639034,0.21186843872423455,0.002109312195256103,0.010324878089504691,-0.19904920084589706,-0.31700332231647416,0.0012192477790639034,0.21186843872423455,,,-0.19904920084589706,radial_quartic,0.0015762413802821798,0.00771554828519357,0.7888893360723076,0.9269002248280586,,0.020169145547303306,0.2689598785575043
