condition,x,y,z,measured_rate_nm_s,selected_model_prediction_nm_s,structure_mean_prediction_nm_s,structure_min_prediction_nm_s,structure_max_prediction_nm_s,structure_envelope_width_nm_s,distinct_prediction_count
3,0.0,0.0,0.0,0.14056252,0.14302356814542902,0.14276873521912306,0.1422556633243802,0.14302697418756002,0.0007713108631798304,3
3,0.0,0.0493,0.0,0.14315216,0.1438383034129213,0.14364622038798772,0.1432576299543363,0.14384272779670554,0.0005850978423692366,3
3,-0.0349,0.0349,0.0,0.14309666,0.1436493615933184,0.1434310878876857,0.1429905407227182,0.14365336134702048,0.0006628206243022849,3
3,-0.0493,0.0,0.0,0.14338082,0.14399550116909557,0.14381784853682025,0.14345786368817345,0.1440001807531918,0.0005423170650183384,3
3,-0.0349,-0.0349,0.0,0.14347699,0.1438162989547899,0.1436276634066955,0.14324591997941635,0.14382077128588022,0.0005748513064638694,3
3,0.0,-0.0493,0.0,0.14348078,0.14402695378215621,0.14383648904739596,0.14345107539894258,0.14403143796108914,0.0005803625621465525,3
3,0.0349,-0.0349,0.0,0.14318703,0.14372051992586202,0.14350635445873247,0.14307395276590087,0.14372459068443455,0.0006506379185336753,3
3,0.0493,0.0,0.0,0.14364387,0.14409943088573385,0.14392831645796825,0.14358128285025093,0.14410423563791996,0.0005229527876690343,3
3,0.0349,0.0349,0.0,0.14328595,0.14386275613739746,0.1436783124737662,0.14330487997725685,0.14386730130664427,0.0005624213293874136,3
3,0.0,0.0987,0.0,0.14424081,0.14408913986337007,0.14395380211505363,0.143677708057291,0.14409455842449986,0.0004168503672088708,3
3,-0.0378,0.0912,0.0,0.14422801,0.14413991927854858,0.1440000904929598,0.14371509202990504,0.14414526017042578,0.0004301681405207425,3
3,-0.0698,0.0698,0.0,0.14458709,0.1441228368130884,0.1440017708241005,0.14375394022084656,0.14412853543836665,0.0003745952175200906,3
3,-0.0912,0.0378,0.0,0.14466533,0.14415676913249895,0.14399837985163738,0.14367658404650346,0.14416178637590973,0.00048520232940627017,3
3,-0.0987,0.0,0.0,0.14469016,0.14413907250502114,0.14400739535047233,0.14373854306542524,0.14414457048097062,0.00040602741554537913,3
3,-0.0912,-0.0378,0.0,0.1448417,0.14422626711183556,0.14409174382213,0.14381724016144884,0.14423172419310568,0.00041448403165683656,3
3,-0.0698,-0.0698,0.0,0.14504117,0.14417362523413974,0.14405632941188165,0.1438159539634183,0.1441794090380869,0.0003634550746685894,3
3,-0.0378,-0.0912,0.0,0.1455119,0.14426726760233027,0.14411300750458042,0.14379937874836596,0.14427237616304506,0.0004729974146790994,3
3,0.0,-0.0987,0.0,0.14580005,0.14431557224806454,0.1441951667531819,0.14394860351572766,0.14432132449575344,0.0003727209800257758,3
3,0.0378,-0.0912,0.0,0.14570245,0.14433329217246404,0.14419440064603736,0.14391121529817918,0.14433869446746886,0.000427479169289674,3
3,0.0698,-0.0698,0.0,0.14512451,0.14421656019110993,0.14409231655088392,0.14383817047589334,0.14422221898564844,0.0003840485097550972,3
3,0.0912,-0.0378,0.0,0.14514728,0.1442267378726701,0.1440740809618032,0.1437636368430059,0.1442318681697337,0.00046823132672782486,3
3,0.0987,0.0,0.0,0.14519535,0.14422182892512825,0.14409993484317038,0.14385044139924483,0.14422753420513806,0.00037709280589323657,3
3,0.0912,0.0378,0.0,0.14494255,0.14423384399857184,0.1440866722904556,0.14378710171757209,0.14423907115522286,0.00045196943765077324,3
3,0.0698,0.0698,0.0,0.14510317,0.1441709363150869,0.1440550857510742,0.14381757070162904,0.1441767502365067,0.0003591795348776572,3
3,0.0378,0.0912,0.0,0.14504689,0.14433403563765795,0.1441766080077147,0.14385668631209023,0.14433910207339595,0.0004824157613057267,3
3,0.0,0.148,0.0,0.14254318,0.14442890780542317,0.14430408726099483,0.14404881418072324,0.14443453979683807,0.00038572561611482925,3
3,-0.0383,0.143,0.0,0.1428339,0.1445086889889237,0.1443775852690848,0.14410985896359177,0.14451420785473892,0.0004043488911471549,3
3,-0.074,0.128,0.0,0.14298734,0.14458786577914406,0.14447694348301895,0.1442491681764203,0.1445937964934925,0.00034462831707218755,3
3,-0.105,0.105,0.0,0.14335676,0.14470066617537142,0.14459286990435527,0.1443712745059111,0.1447066690317833,0.00033539452587219576,3
3,-0.128,0.074,0.0,0.14356209,0.14467085639502184,0.14455029987843995,0.14430343986963237,0.14467660337066568,0.00037316350103330787,3
3,-0.143,0.0383,0.0,0.14354438,0.14468629078070547,0.1445570722979769,0.1442930553220056,0.14469187079121965,0.0003988154692140533,3
3,-0.148,0.0,0.0,0.14351465,0.144657337987339,0.14453657299097308,0.14428930003177481,0.1446630809538054,0.000373780922030581,3
3,-0.143,-0.0383,0.0,0.14320685,0.14466213615245951,0.14453251620388677,0.14426771368662844,0.14466769877257235,0.00039998508594391025,3
3,-0.128,-0.074,0.0,0.14355606,0.1446653737810971,0.1445563784084519,0.14433241409147865,0.14467134735277987,0.00033893326130121637,3
3,-0.105,-0.105,0.0,0.14366935,0.1447721148444247,0.14466630495953114,0.14444863804072963,0.1447781619934391,0.0003295239527094651,3
