condition,x,y,z,measured_rate_nm_s,selected_model_prediction_nm_s,structure_mean_prediction_nm_s,structure_min_prediction_nm_s,structure_max_prediction_nm_s,structure_envelope_width_nm_s,distinct_prediction_count
3,-0.074,-0.128,0.0,0.1444007,0.14483405101685956,0.1447204189357761,0.14448724389580564,0.14483996189466314,0.0003527179988574991,3
3,-0.0383,-0.143,0.0,0.14389637,0.1447056388304981,0.14457350172744324,0.1443037059497364,0.1447111604020952,0.00040745445235879085,3
3,0.0,-0.148,0.0,0.14327601,0.14463155873933278,0.1445180818109921,0.14428524466170545,0.1446374420319381,0.00035219737023264863,3
3,0.0383,-0.143,0.0,0.14348631,0.1446457303027449,0.14452407524784092,0.1442750422343627,0.14465145320641515,0.00037641097205246,3
3,0.074,-0.128,0.0,0.14403495,0.14473398476292948,0.1446052250689548,0.14434210501776945,0.1447395854261654,0.00039748040839596155,3
3,0.105,-0.105,0.0,0.14396541,0.14480932217368447,0.14469646333305408,0.14446482500878427,0.1448152428166935,0.00035041780790923127,3
3,0.128,-0.074,0.0,0.14425302,0.1447209765261234,0.14460615213260197,0.14437062504505202,0.14472685482663053,0.0003562297815785098,3
3,0.143,-0.0383,0.0,0.14390022,0.14466356755033824,0.14453018043509377,0.14425790116169054,0.1446690725932525,0.00041117143156196856,3
3,0.148,0.0,0.0,0.14373463,0.14459778243372698,0.1444754970649124,0.14422521132235916,0.14460349743865097,0.00037828611629181497,3
3,0.143,0.0383,0.0,0.14401618,0.14466391331179876,0.14453293995814806,0.14426543953523935,0.14466946702740605,0.00040402749216669753,3
3,0.128,0.074,0.0,0.14351255,0.14453773298267195,0.14442839546113226,0.144203763475131,0.14454368992559383,0.0003399264504628241,3
3,0.105,0.105,0.0,0.14315765,0.14461636923774357,0.14451277475861754,0.14429950394579022,0.1446224510923188,0.0003229471465285849,3
3,0.074,0.128,0.0,0.14333087,0.1445685120216369,0.14445629981963318,0.14422597109890375,0.14457441633835894,0.0003484452394551807,3
3,0.0383,0.143,0.0,0.1429463,0.14447329163892605,0.14433890185139517,0.14406467103241163,0.14447874288284784,0.00041407185043620953,3
