parameter,parameter_value,factor_from_fitted_value,profiled_rate_scale_nm_s,objective,fitting_error,fitting_error_name,loss
desorption_ratio,0.0014074646633398433,0.001,1.1346238775950936,4.702111184531348e-05,0.006857194167100234,training_rmse_nm_s,mse
desorption_ratio,0.0017718930308808516,0.0012589254117941675,1.1349889041523757,4.696255714369819e-05,0.006852923255348639,training_rmse_nm_s,mse
desorption_ratio,0.0022306811635568915,0.001584893192461114,1.1354484376325598,4.6888956629591395e-05,0.006847551141071631,training_rmse_nm_s,mse
desorption_ratio,0.0028082612024123497,0.001995262314968879,1.1360269437781865,4.679648172065165e-05,0.006840795401168759,training_rmse_nm_s,mse
desorption_ratio,0.003535391390672551,0.0025118864315095794,1.136755220520364,4.668035141614599e-05,0.006832302058321631,training_rmse_nm_s,mse
desorption_ratio,0.0044507940623559955,0.0031622776601683794,1.1376720360331494,4.653460806543622e-05,0.0068216279629892025,training_rmse_nm_s,mse
desorption_ratio,0.005603217747762557,0.003981071705534973,1.1388261900569814,4.635184779248525e-05,0.006808219135169288,training_rmse_nm_s,mse
desorption_ratio,0.007054033210474365,0.005011872336272725,1.1402791075984442,4.612290091100082e-05,0.00679138431477713,training_rmse_nm_s,mse
desorption_ratio,0.008880501664306165,0.00630957344480193,1.142108102096443,4.583646024630032e-05,0.006770262937752146,training_rmse_nm_s,mse
desorption_ratio,0.011179889214675427,0.007943282347242814,1.144410480233228,4.54786604155117e-05,0.006743786800864311,training_rmse_nm_s,mse
desorption_ratio,0.014074646633398434,0.01,1.1473087045361785,4.503262026620736e-05,0.006710634863126392,training_rmse_nm_s,mse
desorption_ratio,0.017718930308808518,0.012589254117941675,1.1509568849713352,4.4477975868348276e-05,0.0066691810493004515,training_rmse_nm_s,mse
desorption_ratio,0.022306811635568916,0.01584893192461114,1.1555489396256995,4.3790455345996056e-05,0.006617435707734232,training_rmse_nm_s,mse
desorption_ratio,0.02808261202412351,0.0199526231496888,1.161328850758117,4.294158252640584e-05,0.006552982719831164,training_rmse_nm_s,mse
desorption_ratio,0.03535391390672553,0.025118864315095808,1.1686035503096768,4.18986467996936e-05,0.006472916406048637,training_rmse_nm_s,mse
desorption_ratio,0.044507940623559956,0.03162277660168379,1.1777591039356385,4.062514294452151e-05,0.006373785605471956,training_rmse_nm_s,mse
desorption_ratio,0.056032177477625573,0.039810717055349734,1.1892810319081062,3.908196347719122e-05,0.006251556884264209,training_rmse_nm_s,mse
desorption_ratio,0.07054033210474366,0.05011872336272725,1.203779818270982,3.7229703926587246e-05,0.006101614862197322,training_rmse_nm_s,mse
desorption_ratio,0.08880501664306169,0.06309573444801933,1.222022929047863,3.5032487635658686e-05,0.005918824852591829,training_rmse_nm_s,mse
desorption_ratio,0.11179889214675433,0.07943282347242818,1.2449750032426294,3.2463675290621806e-05,0.005697690347028505,training_rmse_nm_s,mse
desorption_ratio,0.14074646633398435,0.1,1.2738483199847792,2.951361126467965e-05,0.005432643119576294,training_rmse_nm_s,mse
desorption_ratio,0.17718930308808517,0.12589254117941676,1.3101662120289708,2.619907575496539e-05,0.005118503272927096,training_rmse_nm_s,mse
desorption_ratio,0.22306811635568916,0.15848931924611143,1.3558428283556139,2.2573294322147406e-05,0.004751136108568918,training_rmse_nm_s,mse
desorption_ratio,0.28082612024123527,0.19952623149688808,1.4132835914625437,1.873426901590505e-05,0.00432831018018638,training_rmse_nm_s,mse
desorption_ratio,0.3535391390672555,0.25118864315095824,1.4855118944087649,1.4828151261202481e-05,0.003850733860084657,training_rmse_nm_s,mse
desorption_ratio,0.44507940623559955,0.31622776601683794,1.5763290809851969,1.1043998403445266e-05,0.0033232511797102048,training_rmse_nm_s,mse
desorption_ratio,0.5603217747762558,0.3981071705534973,1.6905165862048253,7.597317622005356e-06,0.002756323207101329,training_rmse_nm_s,mse
desorption_ratio,0.7054033210474365,0.5011872336272725,1.834091326696743,4.702743469291236e-06,0.0021685809805702984,training_rmse_nm_s,mse
desorption_ratio,0.8880501664306173,0.6309573444801937,2.014628102030016,2.540468444793253e-06,0.0015938847024779593,training_rmse_nm_s,mse
desorption_ratio,1.1179889214675438,0.7943282347242822,2.241666057501888,1.2248381144744698e-06,0.0011067240462167929,training_rmse_nm_s,mse
desorption_ratio,1.4074646633398433,1.0,2.527220428930998,7.844918108091601e-07,0.0008857154231519061,training_rmse_nm_s,mse
desorption_ratio,1.4074646633398433,1.0,2.527220428930998,7.844918108091601e-07,0.0008857154231519061,training_rmse_nm_s,mse
desorption_ratio,1.7718930308808516,1.2589254117941675,2.8864261895407144,1.1603193400392998e-06,0.0010771812011167387,training_rmse_nm_s,mse
desorption_ratio,2.2306811635568917,1.5848931924611143,3.3383472319716843,2.221411833125747e-06,0.0014904401474483125,training_rmse_nm_s,mse
desorption_ratio,2.8082612024123526,1.9952623149688808,3.9069937227737235,3.7931407004210406e-06,0.0019475987010729497,training_rmse_nm_s,mse
desorption_ratio,3.5353913906725545,2.5118864315095824,4.6226016522834525,5.688441720195576e-06,0.0023850454335705173,training_rmse_nm_s,mse
desorption_ratio,4.450794062355996,3.1622776601683795,5.523242850156447,7.734251377373084e-06,0.002781052206876578,training_rmse_nm_s,mse
desorption_ratio,5.6032177477625575,3.981071705534973,6.656851513150467,9.7885480942612e-06,0.003128665545286233,training_rmse_nm_s,mse
desorption_ratio,7.0540332104743655,5.011872336272725,8.083775520172678,1.1747382006673382e-05,0.003427445405352707,training_rmse_nm_s,mse
desorption_ratio,8.880501664306173,6.309573444801936,9.87998870579705,1.3543991667812837e-05,0.0036802162528597198,training_rmse_nm_s,mse
desorption_ratio,11.17988921467544,7.943282347242821,12.141135365622763,1.5143131434175301e-05,0.0038914176638052233,training_rmse_nm_s,mse
desorption_ratio,14.074646633398434,10.0,14.987622488468162,1.653347249061016e-05,0.0040661372936252604,training_rmse_nm_s,mse
desorption_ratio,17.718930308808535,12.589254117941687,18.571030930424218,1.7720077291438108e-05,0.004209522216527442,training_rmse_nm_s,mse
desorption_ratio,22.306811635568916,15.848931924611142,23.082186937502478,1.8718025734134485e-05,0.004326433373361306,training_rmse_nm_s,mse
desorption_ratio,28.082612024123495,19.952623149688787,28.76132382057566,1.954756686554823e-05,0.004421263039624337,training_rmse_nm_s,mse
desorption_ratio,35.353913906725545,25.11886431509582,35.910874888131275,2.0230743029178032e-05,0.004497859827648927,training_rmse_nm_s,mse
desorption_ratio,44.50794062355996,31.622776601683793,44.911578869021035,2.078923406417732e-05,0.0045595212538354635,training_rmse_nm_s,mse
desorption_ratio,56.03217747762563,39.81071705534978,56.24275546598412,2.124311702569746e-05,0.0046090256047995075,training_rmse_nm_s,mse
desorption_ratio,70.54033210474365,50.11872336272725,70.50783076259214,2.1610262053296467e-05,0.004648683905504489,training_rmse_nm_s,mse
desorption_ratio,88.80501664306182,63.09573444801943,88.46647178659245,2.1906140405530454e-05,0.004680399598915723,training_rmse_nm_s,mse
desorption_ratio,111.79889214675438,79.43282347242821,111.07504149953499,2.2143879998747003e-05,0.0047057284238199515,training_rmse_nm_s,mse
desorption_ratio,140.74646633398433,100.0,139.53752857956513,2.2334455096981218e-05,0.004725934309422975,training_rmse_nm_s,mse
desorption_ratio,177.18930308808535,125.89254117941688,175.36966418804317,2.248693648760894e-05,0.004742039275207339,training_rmse_nm_s,mse
desorption_ratio,223.06811635568917,158.48931924611142,220.47964016762435,2.2608757014117686e-05,0.004754866666281788,training_rmse_nm_s,mse
desorption_ratio,280.8261202412355,199.5262314968883,277.26972720755805,2.2705966753725847e-05,0.004765077832913734,training_rmse_nm_s,mse
