parameter_1,parameter_2,rms_log_rate_sensitivity_1,mean_log_rate_sensitivity_1,pearson_correlation
desorption_ratio,desorption_ratio,0.5668951772376944,-0.5662389594009364,0.9999999999999998
desorption_ratio,conversion_ratio,0.5668951772376944,-0.5662389594009364,-0.5855354426032489
desorption_ratio,inhibition_ratio,0.5668951772376944,-0.5662389594009364,-0.911972771498691
conversion_ratio,desorption_ratio,0.9528721423406865,0.9526645613939907,-0.5855354426032489
conversion_ratio,conversion_ratio,0.9528721423406865,0.9526645613939907,1.0
conversion_ratio,inhibition_ratio,0.9528721423406865,0.9526645613939907,0.41223386754621677
inhibition_ratio,desorption_ratio,0.0003007804119846921,-0.000300193557200443,-0.911972771498691
inhibition_ratio,conversion_ratio,0.0003007804119846921,-0.000300193557200443,0.41223386754621677
inhibition_ratio,inhibition_ratio,0.0003007804119846921,-0.000300193557200443,1.0
