x,y,z,concentration_adn_2,concentration_idn_2,concentration_n2,molef_adn_2,molef_idn_2,molef_n2,density
3.83000E-02,-1.43000E-01,0.00000E+00,6.97290E-06,1.67809E-06,1.96210E-04,3.40372E-02,8.19133E-03,9.57771E-01,6.78625E-03
7.40000E-02,-1.28000E-01,0.00000E+00,6.95322E-06,1.68916E-06,1.96257E-04,3.39349E-02,8.24388E-03,9.57821E-01,6.78658E-03
1.05000E-01,-1.05000E-01,0.00000E+00,7.01200E-06,1.66741E-06,1.96218E-04,3.42220E-02,8.13780E-03,9.57640E-01,6.79032E-03
1.28000E-01,-7.40000E-02,0.00000E+00,7.00101E-06,1.66795E-06,1.96246E-04,3.41655E-02,8.13972E-03,9.57695E-01,6.78960E-03
1.43000E-01,-3.83000E-02,0.00000E+00,6.93400E-06,1.69678E-06,1.96261E-04,3.38422E-02,8.28132E-03,9.57877E-01,6.78522E-03
1.48000E-01,0.00000E+00,0.00000E+00,6.96870E-06,1.67844E-06,1.96247E-04,3.40113E-02,8.19174E-03,9.57797E-01,6.78673E-03
1.43000E-01,3.83000E-02,0.00000E+00,6.94207E-06,1.69328E-06,1.96267E-04,3.38799E-02,8.26382E-03,9.57856E-01,6.78595E-03
1.28000E-01,7.40000E-02,0.00000E+00,7.01087E-06,1.66007E-06,1.96166E-04,3.42266E-02,8.10432E-03,9.57669E-01,6.78747E-03
1.05000E-01,1.05000E-01,0.00000E+00,7.03569E-06,1.65357E-06,1.96146E-04,3.43481E-02,8.07271E-03,9.57579E-01,6.78939E-03
7.40000E-02,1.28000E-01,0.00000E+00,7.00208E-06,1.66454E-06,1.96186E-04,3.41810E-02,8.12556E-03,9.57693E-01,6.78751E-03
3.83000E-02,1.43000E-01,0.00000E+00,6.92029E-06,1.69898E-06,1.96190E-04,3.37890E-02,8.29543E-03,9.57916E-01,6.78161E-03
