x,y,z,concentration_adn_2,concentration_idn_2,concentration_n2,molef_adn_2,molef_idn_2,molef_n2,density
0.00000E+00,0.00000E+00,0.00000E+00,2.22437E-06,1.88411E-06,2.00700E-04,1.08607E-02,9.19936E-03,9.79940E-01,6.26149E-03
0.00000E+00,4.93000E-02,0.00000E+00,2.29136E-06,1.80831E-06,2.00809E-04,1.11824E-02,8.82498E-03,9.79993E-01,6.26146E-03
-3.49000E-02,3.49000E-02,0.00000E+00,2.26502E-06,1.83982E-06,2.00789E-04,1.10546E-02,8.97936E-03,9.79966E-01,6.26241E-03
-4.93000E-02,0.00000E+00,0.00000E+00,2.30780E-06,1.78996E-06,2.00842E-04,1.12609E-02,8.73404E-03,9.80005E-01,6.26169E-03
-3.49000E-02,-3.49000E-02,0.00000E+00,2.29417E-06,1.80386E-06,2.00785E-04,1.11974E-02,8.80435E-03,9.79998E-01,6.26047E-03
0.00000E+00,-4.93000E-02,0.00000E+00,2.29640E-06,1.80564E-06,2.00890E-04,1.12024E-02,8.80832E-03,9.79989E-01,6.26402E-03
3.49000E-02,-3.49000E-02,0.00000E+00,2.26982E-06,1.83466E-06,2.00805E-04,1.10772E-02,8.95352E-03,9.79969E-01,6.26269E-03
4.93000E-02,0.00000E+00,0.00000E+00,2.31608E-06,1.78138E-06,2.00874E-04,1.12995E-02,8.69087E-03,9.80010E-01,6.26232E-03
3.49000E-02,3.49000E-02,0.00000E+00,2.29890E-06,1.79864E-06,2.00791E-04,1.12202E-02,8.77859E-03,9.80001E-01,6.26043E-03
0.00000E+00,9.87000E-02,0.00000E+00,2.35352E-06,1.73361E-06,2.00784E-04,1.14878E-02,8.46195E-03,9.80050E-01,6.25718E-03
-3.78000E-02,9.12000E-02,0.00000E+00,2.34951E-06,1.73937E-06,2.00793E-04,1.14677E-02,8.48964E-03,9.80043E-01,6.25781E-03
-6.98000E-02,6.98000E-02,0.00000E+00,2.37075E-06,1.71345E-06,2.00798E-04,1.15713E-02,8.36309E-03,9.80066E-01,6.25665E-03
-9.12000E-02,3.78000E-02,0.00000E+00,2.33001E-06,1.76439E-06,2.00829E-04,1.13702E-02,8.61001E-03,9.80020E-01,6.26022E-03
-9.87000E-02,0.00000E+00,0.00000E+00,2.35863E-06,1.72845E-06,2.00810E-04,1.15113E-02,8.43570E-03,9.80053E-01,6.25778E-03
-9.12000E-02,-3.78000E-02,0.00000E+00,2.35709E-06,1.73190E-06,2.00834E-04,1.15023E-02,8.45144E-03,9.80046E-01,6.25881E-03
-6.98000E-02,-6.98000E-02,0.00000E+00,2.37629E-06,1.70782E-06,2.00823E-04,1.15969E-02,8.33460E-03,9.80069E-01,6.25723E-03
-3.78000E-02,-9.12000E-02,0.00000E+00,2.33642E-06,1.75840E-06,2.00870E-04,1.13991E-02,8.57905E-03,9.80022E-01,6.26129E-03
0.00000E+00,-9.87000E-02,0.00000E+00,2.37522E-06,1.71204E-06,2.00898E-04,1.15873E-02,8.35202E-03,9.80061E-01,6.25988E-03
3.78000E-02,-9.12000E-02,0.00000E+00,2.35417E-06,1.73798E-06,2.00909E-04,1.14837E-02,8.47788E-03,9.80038E-01,6.26151E-03
6.98000E-02,-6.98000E-02,0.00000E+00,2.36873E-06,1.71790E-06,2.00857E-04,1.15579E-02,8.38227E-03,9.80025E-01,6.26070E-03
9.12000E-02,-3.78000E-02,0.00000E+00,2.33730E-06,1.75654E-06,2.00856E-04,1.14043E-02,8.57059E-03,9.80062E-01,6.25866E-03
9.87000E-02,0.00000E+00,0.00000E+00,2.37161E-06,1.71461E-06,2.00858E-04,1.15720E-02,8.36624E-03,9.80062E-01,6.25866E-03
9.12000E-02,3.78000E-02,0.00000E+00,2.34326E-06,1.74923E-06,2.00847E-04,1.14339E-02,8.53536E-03,9.80031E-01,6.26008E-03
6.98000E-02,6.98000E-02,0.00000E+00,2.37797E-06,1.70587E-06,2.00829E-04,1.16048E-02,8.32485E-03,9.80070E-01,6.25731E-03
3.78000E-02,9.12000E-02,0.00000E+00,2.33435E-06,1.76261E-06,2.00905E-04,1.13870E-02,8.59805E-03,9.80015E-01,6.26266E-03
0.00000E+00,1.48000E-01,0.00000E+00,2.37203E-06,1.71746E-06,2.00726E-04,1.15813E-02,8.38537E-03,9.80033E-01,6.25551E-03
-3.83000E-02,1.43000E-01,0.00000E+00,2.36632E-06,1.72561E-06,2.00732E-04,1.15529E-02,8.42482E-03,9.80022E-01,6.25622E-03
-7.40000E-02,1.28000E-01,0.00000E+00,2.39208E-06,1.69672E-06,2.00763E-04,1.16771E-02,8.28268E-03,9.80040E-01,6.25596E-03
-1.05000E-01,1.05000E-01,0.00000E+00,2.39832E-06,1.69103E-06,2.00759E-04,1.17078E-02,8.25502E-03,9.80037E-01,6.25579E-03
-1.28000E-01,7.40000E-02,0.00000E+00,2.38182E-06,1.71057E-06,2.00775E-04,1.16261E-02,8.34962E-03,9.80024E-01,6.25714E-03
-1.43000E-01,3.83000E-02,0.00000E+00,2.37189E-06,1.72266E-06,2.00776E-04,1.15775E-02,8.40853E-03,9.80014E-01,6.25777E-03
-1.48000E-01,0.00000E+00,0.00000E+00,2.38126E-06,1.71126E-06,2.00780E-04,1.16231E-02,8.35282E-03,9.80024E-01,6.25730E-03
-1.43000E-01,-3.83000E-02,0.00000E+00,2.37099E-06,1.72328E-06,2.00745E-04,1.15749E-02,8.41283E-03,9.80012E-01,6.25688E-03
-1.28000E-01,-7.40000E-02,0.00000E+00,2.39604E-06,1.69378E-06,2.00752E-04,1.16971E-02,8.26872E-03,9.80034E-01,6.25571E-03
-1.05000E-01,-1.05000E-01,0.00000E+00,2.40230E-06,1.68789E-06,2.00749E-04,1.17278E-02,8.24010E-03,9.80032E-01,6.25553E-03
-7.40000E-02,-1.28000E-01,0.00000E+00,2.39345E-06,1.70021E-06,2.00825E-04,1.16800E-02,8.29699E-03,9.80023E-01,6.25847E-03
-3.83000E-02,-1.43000E-01,0.00000E+00,2.36893E-06,1.72657E-06,2.00759E-04,1.15640E-02,8.42828E-03,9.80008E-01,6.25752E-03
0.00000E+00,-1.48000E-01,0.00000E+00,2.38967E-06,1.70078E-06,2.00766E-04,1.16651E-02,8.30230E-03,9.80033E-01,6.25638E-03
3.83000E-02,-1.43000E-01,0.00000E+00,2.37999E-06,1.71242E-06,2.00774E-04,1.16173E-02,8.35871E-03,9.80024E-01,6.25713E-03
7.40000E-02,-1.28000E-01,0.00000E+00,2.37331E-06,1.72209E-06,2.00808E-04,1.15826E-02,8.40438E-03,9.80013E-01,6.25877E-03
1.05000E-01,-1.05000E-01,0.00000E+00,2.39400E-06,1.69833E-06,2.00810E-04,1.16836E-02,8.28848E-03,9.80028E-01,6.25780E-03
1.28000E-01,-7.40000E-02,0.00000E+00,2.38974E-06,1.70224E-06,2.00828E-04,1.16618E-02,8.30688E-03,9.80031E-01,6.25835E-03
1.43000E-01,-3.83000E-02,0.00000E+00,2.36664E-06,1.72852E-06,2.00802E-04,1.15504E-02,8.43605E-03,9.80014E-01,6.25871E-03
1.48000E-01,0.00000E+00,0.00000E+00,2.37824E-06,1.71363E-06,2.00807E-04,1.16069E-02,8.36329E-03,9.80030E-01,6.25802E-03
1.43000E-01,3.83000E-02,0.00000E+00,2.36940E-06,1.72514E-06,2.00813E-04,1.15633E-02,8.41915E-03,9.80018E-01,6.25884E-03
1.28000E-01,7.40000E-02,0.00000E+00,2.39310E-06,1.69443E-06,2.00754E-04,1.16827E-02,8.27191E-03,9.80045E-01,6.25547E-03
1.05000E-01,1.05000E-01,0.00000E+00,2.40211E-06,1.68482E-06,2.00753E-04,1.17268E-02,8.22508E-03,9.80048E-01,6.25511E-03
7.40000E-02,1.28000E-01,0.00000E+00,2.39007E-06,1.69860E-06,2.00769E-04,1.16670E-02,8.29163E-03,9.80041E-01,6.25614E-03
3.83000E-02,1.43000E-01,0.00000E+00,2.36189E-06,1.73021E-06,2.00722E-04,1.15319E-02,8.44769E-03,9.80020E-01,6.25607E-03
