x,y,z,concentration_adn_2,concentration_idn_2,concentration_n2,molef_adn_2,molef_idn_2,molef_n2,density
0.00000E+00,0.00000E+00,0.00000E+00,3.98044E-06,2.25151E-06,2.39408E-04,1.62043E-02,9.16589E-03,9.74630E-01,7.66130E-03
0.00000E+00,4.93000E-02,0.00000E+00,4.09997E-06,2.15938E-06,2.39501E-04,1.66828E-02,8.78656E-03,9.74531E-01,7.66564E-03
-3.49000E-02,3.49000E-02,0.00000E+00,4.05282E-06,2.19836E-06,2.39492E-04,1.64921E-02,8.94576E-03,9.74562E-01,7.66515E-03
-4.93000E-02,0.00000E+00,0.00000E+00,4.12929E-06,2.13699E-06,2.39532E-04,1.67995E-02,8.69407E-03,9.74506E-01,7.66699E-03
-3.49000E-02,-3.49000E-02,0.00000E+00,4.10489E-06,2.15426E-06,2.39471E-04,1.67049E-02,8.76677E-03,9.74528E-01,7.66467E-03
0.00000E+00,-4.93000E-02,0.00000E+00,4.10887E-06,2.15638E-06,2.39595E-04,1.67122E-02,8.77075E-03,9.74517E-01,7.66908E-03
3.49000E-02,-3.49000E-02,0.00000E+00,4.06136E-06,2.19222E-06,2.39508E-04,1.65256E-02,8.92009E-03,9.74554E-01,7.66580E-03
4.93000E-02,0.00000E+00,0.00000E+00,4.14408E-06,2.12656E-06,2.39565E-04,1.68571E-02,8.65032E-03,9.74493E-01,7.66829E-03
3.49000E-02,3.49000E-02,0.00000E+00,4.11339E-06,2.14777E-06,2.39475E-04,1.67390E-02,8.74013E-03,9.74521E-01,7.66492E-03
0.00000E+00,9.87000E-02,0.00000E+00,4.21084E-06,2.06861E-06,2.39437E-04,1.71370E-02,8.41870E-03,9.74444E-01,7.66459E-03
-3.78000E-02,9.12000E-02,0.00000E+00,4.20361E-06,2.07601E-06,2.39449E-04,1.71067E-02,8.44839E-03,9.74445E-01,7.66513E-03
-6.98000E-02,6.98000E-02,0.00000E+00,4.24156E-06,2.04401E-06,2.39443E-04,1.72612E-02,8.31813E-03,9.74421E-01,7.66506E-03
-9.12000E-02,3.78000E-02,0.00000E+00,4.16884E-06,2.10629E-06,2.39504E-04,1.69618E-02,8.56984E-03,9.74468E-01,7.66673E-03
-9.87000E-02,0.00000E+00,0.00000E+00,4.21994E-06,2.06228E-06,2.39465E-04,1.71719E-02,8.39189E-03,9.74436E-01,7.66563E-03
-9.12000E-02,-3.78000E-02,0.00000E+00,4.21711E-06,2.06688E-06,2.39495E-04,1.71582E-02,8.40953E-03,9.74432E-01,7.66682E-03
-6.98000E-02,-6.98000E-02,0.00000E+00,4.25141E-06,2.03726E-06,2.39471E-04,1.72990E-02,8.28962E-03,9.74411E-01,7.66613E-03
-3.78000E-02,-9.12000E-02,0.00000E+00,4.18019E-06,2.09935E-06,2.39549E-04,1.70045E-02,8.53989E-03,9.74456E-01,7.66848E-03
0.00000E+00,-9.87000E-02,0.00000E+00,4.24950E-06,2.04239E-06,2.39562E-04,1.72847E-02,8.30735E-03,9.74408E-01,7.66925E-03
3.78000E-02,-9.12000E-02,0.00000E+00,4.21197E-06,2.07395E-06,2.39586E-04,1.71307E-02,8.43508E-03,9.74434E-01,7.66984E-03
6.98000E-02,-6.98000E-02,0.00000E+00,4.23798E-06,2.04932E-06,2.39516E-04,1.72413E-02,8.33724E-03,9.74421E-01,7.66748E-03
9.12000E-02,-3.78000E-02,0.00000E+00,4.18183E-06,2.09687E-06,2.39531E-04,1.70124E-02,8.53046E-03,9.74457E-01,7.66780E-03
9.87000E-02,0.00000E+00,0.00000E+00,4.24314E-06,2.04522E-06,2.39515E-04,1.72623E-02,8.32056E-03,9.74417E-01,7.66751E-03
9.12000E-02,3.78000E-02,0.00000E+00,4.19248E-06,2.08791E-06,2.39517E-04,1.70566E-02,8.49442E-03,9.74449E-01,7.66743E-03
6.98000E-02,6.98000E-02,0.00000E+00,4.25447E-06,2.03471E-06,2.39477E-04,1.73110E-02,8.27904E-03,9.74410E-01,7.66631E-03
3.78000E-02,9.12000E-02,0.00000E+00,4.17655E-06,2.10426E-06,2.39592E-04,1.69867E-02,8.55835E-03,9.74455E-01,7.66997E-03
0.00000E+00,1.48000E-01,0.00000E+00,4.24403E-06,2.04973E-06,2.39357E-04,1.72767E-02,8.34409E-03,9.74379E-01,7.66397E-03
-3.83000E-02,1.43000E-01,0.00000E+00,4.23368E-06,2.06030E-06,2.39367E-04,1.72339E-02,8.38675E-03,9.74379E-01,7.66452E-03
-7.40000E-02,1.28000E-01,0.00000E+00,4.27965E-06,2.02486E-06,2.39390E-04,1.74186E-02,8.24136E-03,9.74340E-01,7.66584E-03
-1.05000E-01,1.05000E-01,0.00000E+00,4.29058E-06,2.01895E-06,2.39381E-04,1.74634E-02,8.21746E-03,9.74319E-01,7.66617E-03
-1.28000E-01,7.40000E-02,0.00000E+00,4.26132E-06,2.04171E-06,2.39410E-04,1.73427E-02,8.30931E-03,9.74348E-01,7.66659E-03
-1.43000E-01,3.83000E-02,0.00000E+00,4.24358E-06,2.05663E-06,2.39417E-04,1.72702E-02,8.36992E-03,9.74360E-01,7.66673E-03
-1.48000E-01,0.00000E+00,0.00000E+00,4.26041E-06,2.04211E-06,2.39416E-04,1.73386E-02,8.31074E-03,9.74351E-01,7.66670E-03
-1.43000E-01,-3.83000E-02,0.00000E+00,4.24194E-06,2.05737E-06,2.39380E-04,1.72661E-02,8.37420E-03,9.74360E-01,7.66560E-03
-1.28000E-01,-7.40000E-02,0.00000E+00,4.28665E-06,2.02120E-06,2.39374E-04,1.74480E-02,8.22689E-03,9.74325E-01,7.66579E-03
-1.05000E-01,-1.05000E-01,0.00000E+00,4.29758E-06,2.01517E-06,2.39366E-04,1.74927E-02,8.20247E-03,9.74305E-01,7.66612E-03
-7.40000E-02,-1.28000E-01,0.00000E+00,4.28199E-06,2.02911E-06,2.39463E-04,1.74224E-02,8.25599E-03,9.74322E-01,7.66895E-03
-3.83000E-02,-1.43000E-01,0.00000E+00,4.23824E-06,2.06154E-06,2.39398E-04,1.72498E-02,8.39055E-03,9.74360E-01,7.66625E-03
0.00000E+00,-1.48000E-01,0.00000E+00,4.27544E-06,2.02932E-06,2.39396E-04,1.74010E-02,8.25934E-03,9.74340E-01,7.66614E-03
3.83000E-02,-1.43000E-01,0.00000E+00,4.25811E-06,2.04369E-06,2.39409E-04,1.73297E-02,8.31747E-03,9.74353E-01,7.66644E-03
7.40000E-02,-1.28000E-01,0.00000E+00,4.24614E-06,2.05573E-06,2.39455E-04,1.72778E-02,8.36490E-03,9.74357E-01,7.66801E-03
1.05000E-01,-1.05000E-01,0.00000E+00,4.28287E-06,2.02779E-06,2.39444E-04,1.74274E-02,8.25130E-03,9.74321E-01,7.66831E-03
1.28000E-01,-7.40000E-02,0.00000E+00,4.27549E-06,2.03151E-06,2.39468E-04,1.73959E-02,8.26573E-03,9.74338E-01,7.66856E-03
1.43000E-01,-3.83000E-02,0.00000E+00,4.23425E-06,2.06378E-06,2.39450E-04,1.72300E-02,8.39793E-03,9.74372E-01,7.66753E-03
1.48000E-01,0.00000E+00,0.00000E+00,4.25512E-06,2.04492E-06,2.39450E-04,1.73148E-02,8.32113E-03,9.74364E-01,7.66737E-03
