x,y,z,concentration_adn_2,concentration_idn_2,concentration_n2,molef_adn_2,molef_idn_2,molef_n2,density
0.0000000E+00,0.0000000E+00,0.00000E+00,2.65700E-06,1.50367E-06,1.59843E-04,1.62009E-02,9.16854E-03,9.74631E-01,5.11511E-03
0.0000000E+00,4.9300000E-02,0.00000E+00,2.73680E-06,1.44216E-06,1.59904E-04,1.66794E-02,8.78923E-03,9.74531E-01,5.11800E-03
-3.4899999E-02,3.4899999E-02,0.00000E+00,2.70533E-06,1.46818E-06,1.59898E-04,1.64887E-02,8.94840E-03,9.74563E-01,5.11767E-03
-4.9300000E-02,0.0000000E+00,0.00000E+00,2.75638E-06,1.42721E-06,1.59925E-04,1.67961E-02,8.69675E-03,9.74507E-01,5.11890E-03
-3.4899999E-02,-3.4899999E-02,0.00000E+00,2.74009E-06,1.43874E-06,1.59884E-04,1.67014E-02,8.76944E-03,9.74529E-01,5.11735E-03
0.0000000E+00,-4.9300000E-02,0.00000E+00,2.74275E-06,1.44016E-06,1.59967E-04,1.67088E-02,8.77341E-03,9.74518E-01,5.12029E-03
3.4899999E-02,-3.4899999E-02,0.00000E+00,2.71103E-06,1.46408E-06,1.59909E-04,1.65222E-02,8.92272E-03,9.74555E-01,5.11811E-03
4.9300000E-02,0.0000000E+00,0.00000E+00,2.76625E-06,1.42025E-06,1.59947E-04,1.68537E-02,8.65300E-03,9.74493E-01,5.11977E-03
3.4899999E-02,3.4899999E-02,0.00000E+00,2.74577E-06,1.43441E-06,1.59887E-04,1.67356E-02,8.74280E-03,9.74522E-01,5.11752E-03
0.0000000E+00,9.8700002E-02,0.00000E+00,2.81080E-06,1.38155E-06,1.59860E-04,1.71335E-02,8.42139E-03,9.74445E-01,5.11726E-03
-3.7799999E-02,9.1200002E-02,0.00000E+00,2.80598E-06,1.38649E-06,1.59868E-04,1.71033E-02,8.45107E-03,9.74445E-01,5.11762E-03
-6.9799997E-02,6.9799997E-02,0.00000E+00,2.83131E-06,1.36512E-06,1.59864E-04,1.72577E-02,8.32083E-03,9.74421E-01,5.11757E-03
-9.1200002E-02,3.7799999E-02,0.00000E+00,2.78276E-06,0.00000140669954,1.59905E-04,1.69583E-02,8.57252E-03,9.74469E-01,5.11869E-03
-9.8700002E-02,0.0000000E+00,0.00000E+00,2.81688E-06,1.37733E-06,1.59879E-04,1.71684E-02,8.39458E-03,9.74437E-01,5.11795E-03
-9.1200002E-02,-3.7799999E-02,0.00000E+00,2.81499E-06,1.38039E-06,1.59899E-04,1.71547E-02,8.41221E-03,9.74433E-01,5.11874E-03
-6.9799997E-02,-6.9799997E-02,0.00000E+00,2.83789E-06,1.36062E-06,1.59883E-04,1.72956E-02,8.29232E-03,9.74412E-01,5.11829E-03
-3.7799999E-02,-9.1200002E-02,0.00000E+00,2.79034E-06,1.40207E-06,1.59935E-04,1.70011E-02,8.54255E-03,9.74456E-01,5.11985E-03
0.0000000E+00,-9.8700002E-02,0.00000E+00,2.83661E-06,1.36405E-06,1.59943E-04,1.72813E-02,8.31005E-03,9.74409E-01,5.12037E-03
3.7799999E-02,-0.0912000015,0.00000E+00,2.81155E-06,1.38512E-06,1.59960E-04,1.71273E-02,8.43777E-03,9.74435E-01,5.12076E-03
6.9799997E-02,-6.9799997E-02,0.00000E+00,2.82892E-06,1.36867E-06,1.59913E-04,1.72379E-02,8.33994E-03,9.74422E-01,5.11919E-03
9.1200002E-02,-3.7799999E-02,0.00000E+00,2.79144E-06,1.40042E-06,1.59923E-04,1.70090E-02,8.53313E-03,9.74458E-01,5.11940E-03
9.8700002E-02,0.0000000E+00,0.00000E+00,2.83237E-06,1.36594E-06,1.59913E-04,1.72589E-02,8.32327E-03,9.74418E-01,5.11921E-03
9.1200002E-02,3.7799999E-02,0.00000E+00,2.79855E-06,1.39443E-06,1.59914E-04,1.70532E-02,8.49709E-03,9.74450E-01,5.11916E-03
6.9799997E-02,6.9799997E-02,0.00000E+00,2.83993E-06,1.35892E-06,1.59887E-04,1.73076E-02,8.28174E-03,9.74411E-01,5.11842E-03
3.7799999E-02,9.1200002E-02,0.00000E+00,2.78792E-06,1.40535E-06,1.59964E-04,1.69833E-02,8.56102E-03,9.74456E-01,5.12086E-03
0.0000000E+00,1.4800000E-01,0.00000E+00,2.83292E-06,1.36893E-06,1.59805E-04,1.72732E-02,8.34676E-03,9.74380E-01,5.11678E-03
-3.8300000E-02,1.4300001E-01,0.00000E+00,2.82601E-06,1.37597E-06,1.59811E-04,1.72304E-02,8.38939E-03,9.74380E-01,5.11715E-03
-7.4000001E-02,1.2800001E-01,0.00000E+00,2.85670E-06,1.35232E-06,1.59827E-04,1.74151E-02,8.24403E-03,9.74341E-01,5.11803E-03
-1.0500000E-01,1.0500000E-01,0.00000E+00,2.86400E-06,1.34837E-06,1.59821E-04,1.74599E-02,8.22009E-03,9.74320E-01,5.11825E-03
-1.2800001E-01,7.4000001E-02,0.00000E+00,2.84446E-06,1.36356E-06,1.59840E-04,1.73392E-02,8.31197E-03,9.74349E-01,5.11853E-03
-1.4300001E-01,3.8300000E-02,0.00000E+00,2.83261E-06,1.37353E-06,1.59845E-04,1.72667E-02,8.37257E-03,9.74361E-01,5.11862E-03
-1.4800000E-01,0.0000000E+00,0.00000E+00,2.84385E-06,1.36383E-06,1.59844E-04,1.73351E-02,8.31342E-03,9.74351E-01,5.11860E-03
-1.4300001E-01,-3.8300000E-02,0.00000E+00,2.83152E-06,1.37402E-06,1.59820E-04,1.72626E-02,8.37685E-03,9.74360E-01,5.11786E-03
-1.2800001E-01,-7.4000001E-02,0.00000E+00,2.86137E-06,1.34987E-06,1.59816E-04,1.74445E-02,8.22956E-03,9.74326E-01,5.11799E-03
-1.0500000E-01,-1.0500000E-01,0.00000E+00,2.86867E-06,1.34584E-06,1.59811E-04,1.74892E-02,8.20510E-03,9.74306E-01,5.11821E-03
-7.4000001E-02,-1.2800001E-01,0.00000E+00,2.85826E-06,1.35516E-06,1.59876E-04,1.74190E-02,8.25866E-03,9.74322E-01,5.12010E-03
-3.8300000E-02,-1.4300001E-01,0.00000E+00,2.82905E-06,1.37680E-06,1.59832E-04,1.72463E-02,8.39319E-03,9.74360E-01,5.11830E-03
0.0000000E+00,-1.4800000E-01,0.00000E+00,2.85388E-06,1.35530E-06,1.59830E-04,1.73975E-02,8.26203E-03,9.74340E-01,5.11822E-03
3.8300000E-02,-1.4300001E-01,0.00000E+00,2.84231E-06,1.36489E-06,1.59840E-04,1.73262E-02,8.32014E-03,9.74354E-01,5.11843E-03
7.4000001E-02,-1.2800001E-01,0.00000E+00,2.83433E-06,1.37293E-06,1.59870E-04,1.72744E-02,8.36756E-03,9.74358E-01,5.11948E-03
1.0500000E-01,-1.0500000E-01,0.00000E+00,2.85886E-06,1.35427E-06,1.59863E-04,1.74240E-02,8.25393E-03,9.74322E-01,5.11968E-03
1.2800001E-01,-7.4000001E-02,0.00000E+00,2.85392E-06,1.35676E-06,1.59879E-04,1.73924E-02,8.26840E-03,9.74339E-01,5.11984E-03
1.4300001E-01,-3.8300000E-02,0.00000E+00,2.82639E-06,1.37830E-06,1.59867E-04,1.72266E-02,8.40058E-03,9.74373E-01,5.11916E-03
1.4800000E-01,0.0000000E+00,0.00000E+00,2.84032E-06,1.36571E-06,1.59867E-04,1.73113E-02,8.32381E-03,9.74365E-01,5.11905E-03
1.4300001E-01,3.8300000E-02,0.00000E+00,2.82969E-06,1.37557E-06,1.59875E-04,1.72458E-02,8.38355E-03,9.74371E-01,5.11939E-03
