x,y,z,concentration_adn_2,concentration_idn_2,concentration_n2,molef_adn_2,molef_idn_2,molef_n2,density
0.00000000e+00,0.00000000e+00,0.00000000e+00,3.31876572e-06,1.87723992e-06,1.99611095e-04,1.62043478e-02,9.16589331e-03,9.74629760e-01,6.38775248e-03
0.00000000e+00,4.93000001e-02,0.00000000e+00,3.41842451e-06,1.80042696e-06,1.99688104e-04,1.66828129e-02,8.78655910e-03,9.74530637e-01,6.39137160e-03
-3.48999985e-02,3.48999985e-02,0.00000000e+00,3.37911456e-06,1.83292059e-06,1.99680682e-04,1.64921172e-02,8.94575752e-03,9.74562168e-01,6.39095623e-03
-4.93000001e-02,0.00000000e+00,0.00000000e+00,3.44287355e-06,1.78175219e-06,1.99714239e-04,1.67995151e-02,8.69406760e-03,9.74506438e-01,6.39249012e-03
-3.48999985e-02,-3.48999985e-02,0.00000000e+00,3.42253134e-06,1.79615540e-06,1.99663482e-04,1.67048778e-02,8.76677223e-03,9.74528372e-01,6.39055530e-03
0.00000000e+00,-4.93000001e-02,0.00000000e+00,3.42584963e-06,1.79792244e-06,1.99767092e-04,1.67122055e-02,8.77074432e-03,9.74517047e-01,6.39423449e-03
3.48999985e-02,-3.48999985e-02,0.00000000e+00,3.38623067e-06,1.82780082e-06,1.99694303e-04,1.65255889e-02,8.92009027e-03,9.74554360e-01,6.39150338e-03
4.93000001e-02,0.00000000e+00,0.00000000e+00,3.45520084e-06,1.77305617e-06,1.99741800e-04,1.68571025e-02,8.65031872e-03,9.74492610e-01,6.39357883e-03
3.48999985e-02,3.48999985e-02,0.00000000e+00,3.42961653e-06,1.79074380e-06,1.99667105e-04,1.67390257e-02,8.74013267e-03,9.74520802e-01,6.39076950e-03
0.00000000e+00,9.87000018e-02,0.00000000e+00,3.51085350e-06,1.72473983e-06,1.99634436e-04,1.71369798e-02,8.41870252e-03,9.74444389e-01,6.39047427e-03
